amount,hour,sender_state,receiver_state,sender_bank,receiver_bank,transaction_type,past_txn_count_7d,past_avg_amount_7d,device_type,is_vpa_verified,fraud_flag
832.3091041995895,11,TN,TN,HDFC,AXIS,P2M,16,966.1822817628898,Android,1,0
554.3774575674115,11,TS,BR,HDFC,CANARA,P2P,22,1104.129006215454,Android,1,0
1267.7034833530527,14,BR,HR,UBI,SBI,P2P,4,1264.5465040672243,Android,1,0
1354.3042161695453,18,TS,UP,HDFC,HDFC,P2M,14,638.6035925029272,Android,0,0
1.0,10,BR,TS,SBI,CANARA,P2P,18,1079.5187083114618,Android,0,0
4256.830154903802,23,AP,MH,CANARA,AXIS,P2P,5,696.2857651810149,Android,0,1
1209.9689013005113,16,GJ,GA,HDFC,HDFC,P2M,7,844.5490508826672,Android,0,0
734.8448399464871,21,MP,RJ,SBI,UBI,P2M,16,1271.4733754183183,Android,1,0
953.9149157197697,6,KL,DL,UBI,KOTAK,P2P,27,980.3241770592081,Android,1,0
1705.40155685364,7,UP,MP,KOTAK,PNB,P2P,10,1242.6472572293158,Android,0,0
960.6976550770103,17,KL,MP,SBI,IDBI,P2M,1,584.2191563213881,Android,0,0
799.8993434792076,19,UP,MP,KOTAK,CANARA,P2P,26,733.6788705266999,Android,1,0
6267.669056992104,4,AP,KA,KOTAK,AXIS,P2M,2,1.0,Android,1,1
955.8968700757855,12,RJ,DL,PNB,ICICI,P2M,9,660.3672181133404,Android,1,0
6120.954949340335,3,HR,TS,CANARA,IDBI,P2M,3,1532.186529275032,iOS,1,1
779.3728455117522,19,WB,TS,IDBI,BOI,P2P,17,397.28001603420756,Android,0,0
1028.6358086780856,19,TS,RJ,KOTAK,CANARA,P2M,11,1033.340538617441,Android,1,0
986.8532589204021,20,UP,BR,KOTAK,BOI,P2M,20,1160.1128225606863,Android,1,0
5381.359565379711,1,RJ,GJ,PNB,HDFC,P2P,3,1150.2576686666744,Android,0,1
579.8657121489177,14,DL,MH,ICICI,AXIS,P2P,16,1186.788745510335,Android,0,0
1053.7192348699823,20,TS,GJ,AXIS,IDBI,P2P,10,694.4386328210501,iOS,1,0
3383.2314044886357,0,WB,TS,PNB,SBI,P2M,2,531.5347264330601,Android,0,1
1454.8266555972564,12,MH,AP,HDFC,SBI,P2P,24,900.6724363935466,iOS,1,0
490.874193793901,8,GA,HR,BOI,HDFC,P2M,7,426.51377707994766,FeaturePhone,0,0
